customer_id,arrival_time_min,transaction_type,service_time_min,service_start_min,service_end_min,waiting_time_min,time_in_system_min
65,86.46,Quick,0.99,91.39,92.38,4.93,5.92
66,89.61,Quick,0.32,92.38,92.69,2.76,3.08
67,91.33,Quick,0.6,92.69,93.29,1.36,1.96
68,91.94,Quick,0.02,93.29,93.31,1.35,1.37
69,92.89,Standard,2.19,93.31,95.5,0.43,2.61
70,95.18,Quick,0.22,95.5,95.72,0.32,0.54
71,95.58,Standard,6.99,95.72,102.71,0.14,7.13
72,95.79,Quick,0.04,102.71,102.75,6.92,6.97
73,97.5,Quick,1.42,102.75,104.17,5.26,6.68
74,98.33,Quick,2.02,104.17,106.19,5.85,7.86
75,98.37,Quick,0.27,106.19,106.45,7.82,8.08
76,98.98,Quick,0.12,106.45,106.58,7.47,7.6
77,99.74,Quick,0.16,106.58,106.73,6.84,6.99
78,100,Standard,0.17,106.73,106.9,6.74,6.9
79,100.23,Quick,0.12,106.9,107.02,6.67,6.79
80,100.61,Quick,0.15,107.02,107.17,6.41,6.56
81,102.82,Quick,0.01,107.17,107.18,4.35,4.36
82,103.73,Complex,13.41,107.18,120.59,3.45,16.87
83,103.93,Complex,4.57,120.59,125.16,16.66,21.23
84,104.67,Quick,0.3,125.16,125.46,20.49,20.79
85,105.26,Quick,0.36,125.46,125.82,20.2,20.56
86,105.59,Quick,1.38,125.82,127.2,20.23,21.61
87,105.71,Quick,0.81,127.2,128.02,21.5,22.31
88,106.48,Quick,0.25,128.02,128.27,21.54,21.79
89,108.78,Quick,0.38,128.27,128.64,19.49,19.87
90,109.01,Quick,0.14,128.64,128.78,19.63,19.77
91,109.46,Quick,0.08,128.78,128.86,19.32,19.41
92,110.25,Standard,0.43,128.86,129.29,18.62,19.05
93,110.51,Quick,0.74,129.29,130.03,18.78,19.52
94,111.29,Quick,0.31,130.03,130.34,18.74,19.05
95,113.72,Quick,0.08,130.34,130.42,16.62,16.71
96,113.75,Quick,0.16,130.42,130.58,16.67,16.83
97,115,Standard,0.97,130.58,131.55,15.58,16.56
98,120.39,Standard,1.6,131.55,133.16,11.16,12.77
99,120.6,Quick,0.01,133.16,133.17,12.56,12.58
100,121.49,Quick,0.01,133.17,133.18,11.68,11.69
101,124.32,Quick,0.04,133.18,133.21,8.86,8.89
102,125.46,Quick,0.37,133.21,133.58,7.75,8.12
103,126.95,Standard,0.33,133.58,133.91,6.63,6.96
104,127.01,Standard,3.43,133.91,137.34,6.9,10.33
105,127.61,Standard,2.35,137.34,139.69,9.73,12.08
106,127.71,Quick,0.13,139.69,139.81,11.98,12.11
107,128.53,Quick,1.97,139.81,141.79,11.29,13.26
108,130.71,Quick,0.11,141.79,141.9,11.08,11.19
109,131.46,Complex,5.46,141.9,147.36,10.44,15.9
110,131.71,Quick,0.92,147.36,148.29,15.65,16.57
111,133.1,Quick,0.42,148.29,148.71,15.19,15.61
112,133.33,Quick,0.09,148.71,148.8,15.38,15.47
113,133.69,Quick,0.08,148.8,148.88,15.11,15.19
114,135.95,Standard,0.11,148.88,148.99,12.93,13.04
115,136.31,Quick,0.27,148.99,149.27,12.69,12.96
116,138.39,Quick,0.69,149.27,149.96,10.88,11.57
117,144.11,Quick,2.03,149.96,151.98,5.84,7.87
118,144.29,Quick,0.6,151.98,152.58,7.69,8.29
119,145.08,Quick,0.41,152.58,152.99,7.51,7.92
120,146.86,Quick,2.32,152.99,155.32,6.13,8.46
121,148.89,Quick,0.44,155.32,155.75,6.43,6.87
122,153.33,Quick,0.96,155.75,156.72,2.43,3.39
123,155.49,Quick,0.25,156.72,156.97,1.22,1.47
124,161.19,Quick,0.19,161.19,161.38,0,0.19
125,161.27,Quick,0.49,161.38,161.87,0.11,0.6
126,161.98,Quick,0.24,161.98,162.22,0,0.24
127,162.87,Quick,0.91,162.87,163.78,0,0.91
128,163.05,Quick,0.57,163.78,164.35,0.73,1.3
129,163.2,Quick,0.02,164.35,164.37,1.15,1.18
130,171.76,Quick,0.7,171.76,172.46,0,0.7
131,172.25,Standard,7.63,172.46,180.09,0.21,7.84
132,173.6,Quick,0.43,180.09,180.52,6.49,6.92
133,174.9,Quick,1.47,180.52,181.99,5.62,7.09
134,175.67,Quick,0.32,181.99,182.31,6.32,6.64
135,176.65,Complex,21.7,182.31,204.01,5.66,27.35
136,178.35,Standard,1.32,204.01,205.33,25.66,26.97
137,178.6,Quick,0.3,205.33,205.62,26.72,27.02
138,178.78,Quick,0.23,205.62,205.85,26.84,27.07
139,179.27,Standard,3.68,205.85,209.53,26.58,30.26
140,179.36,Quick,0.19,209.53,209.72,30.17,30.35
141,180.44,Quick,0.76,209.72,210.47,29.28,30.04
142,180.6,Quick,1.14,210.47,211.61,29.87,31.01
143,180.79,Quick,0.46,211.61,212.07,30.83,31.28
144,182.31,Standard,2.14,212.07,214.21,29.76,31.89
145,182.82,Quick,1.87,214.21,216.07,31.38,33.25
146,183.45,Standard,0.13,216.07,216.2,32.62,32.75
147,183.52,Standard,0.24,216.2,216.45,32.68,32.92
148,184.08,Quick,0.1,216.45,216.55,32.37,32.48
149,185.52,Standard,1.83,216.55,218.38,31.03,32.86
150,185.83,Quick,0.45,218.38,218.82,32.55,33
151,186.19,Quick,0.52,218.82,219.34,32.64,33.16
152,188.18,Quick,0.05,219.34,219.39,31.17,31.21
153,188.41,Quick,0.34,219.39,219.73,30.99,31.33
154,188.94,Quick,0.93,219.73,220.67,30.79,31.72
155,191.17,Quick,0.57,220.67,221.23,29.5,30.07
156,191.58,Quick,0.59,221.23,221.82,29.65,30.24
157,191.68,Quick,0.15,221.82,221.97,30.14,30.28
158,191.89,Quick,0.28,221.97,222.25,30.08,30.36
159,192.36,Quick,0.29,222.25,222.55,29.9,30.19
160,194.21,Quick,0.23,222.55,222.77,28.33,28.56
161,194.45,Quick,0.74,222.77,223.51,28.32,29.06
162,194.67,Standard,1.23,223.51,224.74,28.84,30.06
163,194.92,Quick,0.04,224.74,224.78,29.81,29.85
164,195.49,Quick,0.46,224.78,225.23,29.29,29.74
165,197.32,Quick,0.91,225.23,226.14,27.91,28.82
166,200.46,Quick,0.06,226.14,226.2,25.68,25.74
167,203.36,Quick,0.37,226.2,226.57,22.84,23.21
168,205.34,Complex,1.63,226.57,228.2,21.24,22.86
169,205.4,Quick,0.86,228.2,229.06,22.8,23.66
170,205.67,Quick,0.56,229.06,229.62,23.4,23.95
171,205.99,Quick,0.22,229.62,229.84,23.64,23.85
172,206.11,Quick,0.41,229.84,230.24,23.73,24.14
173,207.21,Quick,0.94,230.24,231.18,23.04,23.98
174,207.29,Standard,0.61,231.18,231.8,23.9,24.51
175,208.92,Standard,4.11,231.8,235.91,22.88,26.99
176,213.06,Quick,1.8,235.91,237.71,22.85,24.65
177,213.22,Standard,1.65,237.71,239.36,24.49,26.13
178,213.25,Standard,0.57,239.36,239.93,26.11,26.68
179,213.76,Quick,0.26,239.93,240.18,26.17,26.43
180,214.26,Quick,0.86,240.18,241.05,25.93,26.79
181,216.33,Quick,0.54,241.05,241.59,24.71,25.25
182,216.56,Quick,0.12,241.59,241.71,25.02,25.14
183,217.6,Quick,0.19,241.71,241.9,24.11,24.3
184,218.9,Quick,0.06,241.9,241.96,23,23.06
185,219.44,Standard,0.06,241.96,242.02,22.52,22.58
186,220.53,Quick,0.15,242.02,242.18,21.49,21.64
187,220.75,Quick,0.31,242.18,242.48,21.42,21.73
188,220.93,Quick,0.28,242.48,242.77,21.55,21.83
189,220.96,Standard,2.61,242.77,245.38,21.81,24.42
190,220.99,Quick,1.15,245.38,246.53,24.39,25.54
191,222.81,Quick,1.2,246.53,247.73,23.72,24.92
192,222.91,Quick,0.15,247.73,247.88,24.82,24.98
193,223.63,Quick,1.53,247.88,249.42,24.25,25.78
194,225.01,Standard,1.45,249.42,250.87,24.41,25.86
195,226.09,Quick,0.04,250.87,250.91,24.78,24.82
196,226.54,Standard,0.49,250.91,251.39,24.36,24.85
197,227.43,Quick,0.36,251.39,251.75,23.96,24.32
198,230.08,Standard,1.5,251.75,253.25,21.68,23.18
199,230.12,Quick,1.16,253.25,254.41,23.13,24.29
200,230.39,Standard,1.51,254.41,255.92,24.03,25.54
201,231.28,Quick,0.02,255.92,255.95,24.65,24.67
202,233.5,Quick,1.04,255.95,256.99,22.45,23.49
203,234.22,Quick,0.02,256.99,257.01,22.77,22.79
204,238.34,Quick,0.13,257.01,257.14,18.67,18.8
205,239.22,Quick,0.42,257.14,257.55,17.91,18.33
206,239.38,Standard,0.12,257.55,257.67,18.17,18.29
207,239.42,Quick,0.92,257.67,258.59,18.25,19.17
208,240.89,Quick,0.15,258.59,258.74,17.7,17.85
209,243.15,Quick,0.24,258.74,258.98,15.59,15.84
210,244.03,Quick,0.29,258.98,259.27,14.95,15.24
211,244.21,Quick,0.17,259.27,259.44,15.06,15.23
212,244.48,Quick,0.03,259.44,259.47,14.97,14.99
213,244.69,Quick,0.1,259.47,259.57,14.78,14.88
214,245,Standard,0.36,259.57,259.93,14.57,14.93
215,245.11,Quick,0.69,259.93,260.62,14.82,15.51
216,245.61,Quick,0.09,260.62,260.7,15.01,15.09
217,246.55,Quick,0.04,260.7,260.74,14.15,14.19
218,247.9,Quick,0.11,260.74,260.85,12.83,12.94
219,249.89,Complex,4.58,260.85,265.42,10.96,15.54
220,249.92,Quick,0.68,265.42,266.11,15.5,16.19
221,251.31,Complex,2.64,266.11,268.74,14.8,17.44
222,254.37,Quick,0.4,268.74,269.14,14.38,14.77
223,254.57,Quick,0.22,269.14,269.36,14.57,14.79
224,255.35,Quick,0.09,269.36,269.45,14.01,14.1
225,255.54,Quick,0.25,269.45,269.69,13.91,14.16
226,255.99,Quick,0.34,269.69,270.04,13.7,14.04
227,256.44,Quick,0.03,270.04,270.06,13.6,13.62
228,257.12,Quick,0.19,270.06,270.26,12.95,13.14
229,258.91,Quick,0.92,270.26,271.18,11.35,12.27
230,260.83,Standard,0.33,271.18,271.5,10.35,10.67
231,263.5,Standard,0.06,271.5,271.56,8,8.06
232,264.88,Quick,0.06,271.56,271.62,6.68,6.74
233,267.12,Quick,0.14,271.62,271.76,4.5,4.63
234,268.63,Quick,0.1,271.76,271.85,3.13,3.23
235,272.17,Complex,29.02,272.17,301.2,0,29.02
236,272.85,Quick,0.02,301.2,301.22,28.35,28.37
237,274.2,Quick,0.05,301.22,301.27,27.02,27.07
238,277.32,Quick,0.47,301.27,301.75,23.96,24.43
239,277.95,Quick,0.39,301.75,302.13,23.8,24.18
240,280.35,Quick,0.32,302.13,302.45,21.79,22.1
241,281.04,Quick,0.18,302.45,302.63,21.41,21.59
242,281.91,Quick,0.12,302.63,302.74,20.71,20.83
243,284.63,Quick,0.36,302.74,303.1,18.11,18.47
244,287.71,Quick,0.13,303.1,303.23,15.39,15.52
245,288.27,Quick,0.79,303.23,304.02,14.96,15.75
246,292.35,Quick,0.45,304.02,304.47,11.67,12.12
247,292.49,Quick,0.2,304.47,304.67,11.97,12.17
248,296.51,Quick,0.31,304.67,304.98,8.16,8.47
249,296.69,Standard,1.47,304.98,306.45,8.28,9.76
250,297.93,Standard,2.29,306.45,308.74,8.52,10.81
251,298.35,Quick,0.09,308.74,308.83,10.39,10.49
252,298.71,Standard,0.4,308.83,309.23,10.12,10.52
253,302.6,Standard,0.15,309.23,309.39,6.63,6.78
254,306.78,Quick,0.01,309.39,309.39,2.6,2.61
255,310.88,Quick,0.84,310.88,311.72,0,0.84
256,312.11,Quick,0.59,312.11,312.7,0,0.59
257,315.26,Quick,0.34,315.26,315.6,0,0.34
258,319.3,Quick,0.57,319.3,319.86,0,0.57
259,319.45,Quick,0.68,319.86,320.55,0.42,1.1
260,321.56,Quick,0.1,321.56,321.66,0,0.1
261,322.07,Standard,3.51,322.07,325.58,0,3.51
262,322.46,Standard,11.66,325.58,337.24,3.13,14.79
263,325.14,Quick,0.99,337.24,338.24,12.1,13.09
264,328.6,Quick,0.87,338.24,339.11,9.64,10.51
265,329.57,Standard,0.3,339.11,339.4,9.54,9.83
266,331.32,Standard,4.4,339.4,343.8,8.09,12.48
267,331.96,Complex,0.86,343.8,344.66,11.84,12.71
268,333.97,Quick,0.3,344.66,344.96,10.69,11
269,334.71,Quick,0.07,344.96,345.04,10.25,10.33
270,334.95,Quick,0.68,345.04,345.72,10.09,10.77
271,338.32,Quick,0.29,345.72,346.01,7.4,7.69
272,342.99,Quick,0.22,346.01,346.23,3.02,3.24
273,343.16,Quick,0.3,346.23,346.53,3.07,3.37
274,343.28,Quick,0.99,346.53,347.52,3.25,4.24
275,343.47,Quick,0.37,347.52,347.89,4.06,4.43
276,345.94,Quick,0.13,347.89,348.02,1.96,2.09
277,348.42,Quick,0.21,348.42,348.63,0,0.21
278,349.34,Complex,2.5,349.34,351.84,0,2.5
279,358.97,Quick,0.85,358.97,359.82,0,0.85
280,360.19,Quick,0.67,360.19,360.87,0,0.67
281,362.32,Quick,0.62,362.32,362.94,0,0.62
282,362.42,Complex,6.39,362.94,369.32,0.52,6.9
283,362.56,Quick,2.74,369.32,372.06,6.77,9.5
284,364.29,Quick,0.35,372.06,372.41,7.77,8.11
285,369.44,Quick,0.03,372.41,372.44,2.97,3
286,373.53,Quick,0.33,373.53,373.86,0,0.33
287,373.54,Quick,0.56,373.86,374.42,0.32,0.88
288,374.87,Quick,3.13,374.87,378,0,3.13
289,375,Quick,0.06,378,378.05,3,3.05
290,375.18,Quick,0.45,378.05,378.5,2.88,3.33
291,376.26,Quick,0.53,378.5,379.03,2.25,2.77
292,376.98,Quick,0.17,379.03,379.2,2.05,2.22
293,379.23,Standard,0.26,379.23,379.49,0,0.26
294,380.28,Standard,0.79,380.28,381.08,0,0.79
295,380.58,Complex,0.19,381.08,381.26,0.49,0.68
296,380.91,Standard,0.13,381.26,381.4,0.35,0.49
297,380.98,Quick,0.71,381.4,382.11,0.41,1.12
298,381.34,Quick,1.02,382.11,383.13,0.76,1.78
299,382.42,Quick,0.94,383.13,384.06,0.71,1.64
300,383.76,Quick,0.63,384.06,384.69,0.3,0.93
301,385.3,Quick,0.06,385.3,385.36,0,0.06
302,387.83,Standard,2.19,387.83,390.03,0,2.19
303,389.79,Quick,0.07,390.03,390.1,0.24,0.31
304,390.7,Quick,0.5,390.7,391.2,0,0.5
305,391.02,Quick,0.17,391.2,391.38,0.18,0.36
306,391.17,Quick,0.38,391.38,391.76,0.21,0.59
307,391.26,Quick,0.1,391.76,391.85,0.49,0.59
308,392.78,Quick,0.18,392.78,392.96,0,0.18
309,395.65,Quick,0.65,395.65,396.3,0,0.65
310,398.17,Quick,0.38,398.17,398.54,0,0.38
311,400.88,Quick,1.06,400.88,401.94,0,1.06
312,400.96,Quick,0.16,401.94,402.1,0.97,1.13
313,401.56,Quick,0.36,402.1,402.46,0.54,0.9
314,402.64,Standard,0.2,402.64,402.84,0,0.2
315,402.73,Quick,0.25,402.84,403.09,0.11,0.35
316,403.76,Standard,3.22,403.76,406.98,0,3.22
317,404.1,Quick,1.03,406.98,408.01,2.88,3.91
318,404.99,Quick,0.03,408.01,408.05,3.02,3.05
319,405.32,Quick,0.42,408.05,408.46,2.73,3.15
320,406.35,Quick,1.41,408.46,409.87,2.11,3.52
321,406.78,Quick,0.53,409.87,410.4,3.08,3.62
322,406.79,Quick,0.85,410.4,411.26,3.61,4.46
323,407.06,Quick,0.03,411.26,411.29,4.2,4.23
324,408.32,Quick,0.31,411.29,411.6,2.96,3.27
325,408.41,Quick,1.44,411.6,413.03,3.19,4.62
326,409.01,Standard,0.49,413.03,413.52,4.02,4.51
327,409.4,Quick,0.07,413.52,413.59,4.13,4.2
328,411.22,Quick,0.37,413.59,413.97,2.38,2.75
329,412.07,Quick,0.24,413.97,414.21,1.9,2.14
330,412.85,Quick,0.11,414.21,414.32,1.36,1.47
331,413.67,Quick,0.2,414.32,414.52,0.66,0.85
332,414.52,Quick,0.69,414.52,415.21,0,0.69
333,414.89,Quick,1.54,415.21,416.75,0.32,1.86
334,416.96,Quick,0.02,416.96,416.99,0,0.02
335,417.2,Quick,0.27,417.2,417.47,0,0.27
336,417.88,Quick,0.26,417.88,418.15,0,0.26
337,419.33,Quick,0.44,419.33,419.77,0,0.44
338,420.15,Complex,10.59,420.15,430.74,0,10.59
339,420.38,Quick,0.31,430.74,431.06,10.36,10.68
340,421.31,Quick,1.01,431.06,432.06,9.75,10.76
341,422.84,Quick,0.09,432.06,432.15,9.22,9.31
342,426.71,Quick,0.76,432.15,432.91,5.44,6.2
343,427.54,Standard,3.96,432.91,436.87,5.38,9.34
344,430.1,Quick,1.18,436.87,438.05,6.77,7.95
345,430.59,Complex,1.39,438.05,439.44,7.46,8.85
346,432.58,Standard,1.84,439.44,441.28,6.86,8.7
347,434.16,Standard,0.87,441.28,442.15,7.12,8
348,434.25,Quick,0.05,442.15,442.2,7.9,7.95
349,436.98,Quick,0.57,442.2,442.77,5.22,5.79
350,437.03,Quick,0.03,442.77,442.79,5.74,5.77
351,438.83,Quick,0.11,442.79,442.9,3.96,4.07
352,440.13,Quick,0.13,442.9,443.03,2.77,2.9
353,440.5,Quick,0.94,443.03,443.97,2.53,3.47
354,443.4,Quick,0.6,443.97,444.57,0.57,1.18
355,444.15,Standard,1.85,444.57,446.43,0.43,2.28
356,444.29,Quick,2.16,446.43,448.59,2.14,4.3
357,445.07,Quick,0.06,448.59,448.65,3.52,3.58
358,445.24,Quick,0.39,448.65,449.04,3.41,3.8
359,447.37,Quick,0.06,449.04,449.1,1.67,1.73
360,447.66,Quick,0.85,449.1,449.95,1.43,2.29
361,448.5,Quick,0.05,449.95,450,1.45,1.5
362,449.35,Quick,0.11,450,450.12,0.66,0.77
363,451.45,Quick,0.3,451.45,451.75,0,0.3
364,453.07,Standard,1.7,453.07,454.78,0,1.7
365,454.13,Quick,0.3,454.78,455.07,0.64,0.94
366,454.57,Quick,0.32,455.07,455.39,0.5,0.83
367,456.57,Quick,0.84,456.57,457.41,0,0.84
368,456.88,Quick,0.19,457.41,457.6,0.53,0.72
369,458.49,Standard,1.62,458.49,460.11,0,1.62
370,462.14,Quick,0.18,462.14,462.31,0,0.18
371,463.38,Complex,2.19,463.38,465.56,0,2.19
372,467.07,Quick,0.33,467.07,467.4,0,0.33
373,467.15,Quick,0.21,467.4,467.61,0.25,0.46
374,468.03,Quick,0.13,468.03,468.16,0,0.13
375,468.95,Quick,0.03,468.95,468.98,0,0.03
376,469.01,Quick,1.98,469.01,470.99,0,1.98
377,469.01,Quick,0.46,470.99,471.45,1.98,2.43
378,469.85,Quick,0.41,471.45,471.86,1.59,2
379,472.15,Quick,0.03,472.15,472.18,0,0.03
380,473.5,Quick,1.67,473.5,475.17,0,1.67
381,474.8,Standard,0.45,475.17,475.63,0.37,0.82
382,477.62,Quick,0.39,477.62,478.01,0,0.39
383,478.07,Quick,0.38,478.07,478.45,0,0.38
384,478.53,Quick,1.34,478.53,479.87,0,1.34
